"label
0-平;1-升CPU;2-升内存;3-升CPU内存;-1-降CPU;-2-降内存;-3-降CPU内存",机器名,业务IP,归属系统,归属微服务,系统级别,进程,规格,机房,网络区域,芯片架构,最高CPU利用率,最高内存利用率,CPU利用率(>20%)时间占比,CPU利用率(>30%)时间占比,创建/变更时间
-2,szb-shop-MGR-kzx-0002,10.2.2.176,SHOP,MGR,A,MGR,2C8G,szb,SCYW,x86,20%,23%,2%,0%,2020-03-16
-2,hfa-shop-Nginx-kzx-0001,10.6.3.150,SHOP,Nginx,A,Nginx,2C8G,hfa,WEB,C86,10%,88%,0%,0%,2020-03-22
1,hfa-shop-Nginx-kzx-0002,10.6.3.199,SHOP,Nginx,A,Nginx,2C8G,hfa,WEB,C86,63%,23%,44%,17%,2020-10-04
0,hfa-shop-Nginx-kzx-0003,10.6.3.75,SHOP,Nginx,A,Nginx,2C8G,hfa,WEB,C86,65%,24%,56%,11%,2020-05-27
1,sza-shop-Nginx-kzx-0001,10.6.1.53,SHOP,Nginx,A,Nginx,4C8G,sza,WEB,ARM,85%,23%,75%,63%,2020-08-22
2,sza-shop-Nginx-kzx-0002,10.6.1.57,SHOP,Nginx,A,Nginx,4C8G,sza,WEB,ARM,83%,79%,45%,31%,2020-06-19
-1,sza-shop-Nginx-kzx-0003,10.6.1.167,SHOP,Nginx,A,Nginx,4C8G,sza,WEB,ARM,100%,37%,23%,6%,2020-11-08
-3,sza-shop-Nginx-kzx-0004,10.6.1.29,SHOP,Nginx,A,Nginx,4C8G,sza,WEB,ARM,40%,74%,37%,14%,2020-09-17
-2,sza-shop-Nginx-kzx-0005,10.6.1.206,SHOP,Nginx,A,Nginx,4C8G,sza,WEB,ARM,52%,33%,35%,23%,2020-05-01
0,szb-shop-Nginx-kzx-0001,10.6.2.180,SHOP,Nginx,A,Nginx,4C8G,szb,WEB,ARM,58%,29%,8%,4%,2020-09-18
3,szb-shop-Nginx-kzx-0002,10.6.2.89,SHOP,Nginx,A,Nginx,4C8G,szb,WEB,ARM,16%,13%,0%,0%,2020-02-01
0,szb-shop-Nginx-kzx-0003,10.6.2.80,SHOP,Nginx,A,Nginx,4C8G,szb,WEB,ARM,28%,100%,22%,0%,2020-05-07
0,szb-shop-Nginx-kzx-0004,10.6.2.40,SHOP,Nginx,A,Nginx,4C8G,szb,WEB,ARM,64%,15%,1%,0%,2020-09-02
-3,szb-shop-Nginx-kzx-0005,10.6.2.247,SHOP,Nginx,A,Nginx,4C8G,szb,WEB,ARM,25%,23%,3%,0%,2020-09-26
2,hfa-shop-Redis-kzx-0001,10.6.3.163,SHOP,Redis,A,Redis,4C8G,hfa,WEB,ARM,38%,70%,20%,3%,2020-05-23
3,hfa-shop-Redis-kzx-0002,10.6.3.170,SHOP,Redis,A,Redis,4C8G,hfa,WEB,ARM,22%,22%,6%,0%,2020-08-11
-1,hfa-shop-Redis-kzx-0003,10.6.3.54,SHOP,Redis,A,Redis,4C8G,hfa,WEB,ARM,24%,18%,21%,0%,2020-01-28
3,hfa-shop-Redis-kzx-0004,10.6.3.38,SHOP,Redis,A,Redis,4C8G,hfa,WEB,ARM,19%,24%,0%,0%,2020-10-13
-2,hfa-shop-Redis-kzx-0005,10.6.3.142,SHOP,Redis,A,Redis,4C8G,hfa,WEB,ARM,25%,27%,22%,0%,2020-10-21
-2,hfa-shop-Redis-kzx-0006,10.6.3.183,SHOP,Redis,A,Redis,4C8G,hfa,WEB,ARM,56%,19%,60%,7%,2020-12-28
3,sza-shop-Redis-kzx-0001,10.6.1.38,SHOP,Redis,A,Redis,8C32G,sza,WEB,x86,89%,93%,51%,17%,2020-12-12
1,sza-shop-Redis-kzx-0002,10.6.1.102,SHOP,Redis,A,Redis,8C32G,sza,WEB,x86,67%,33%,52%,48%,2020-08-06
-3,sza-shop-Redis-kzx-0003,10.6.1.58,SHOP,Redis,A,Redis,8C32G,sza,WEB,x86,61%,60%,90%,50%,2020-08-10
-3,sza-shop-Redis-kzx-0004,10.6.1.98,SHOP,Redis,A,Redis,8C32G,sza,WEB,x86,89%,62%,44%,37%,2020-09-03
-2,sza-shop-Redis-kzx-0005,10.6.1.246,SHOP,Redis,A,Redis,8C32G,sza,WEB,x86,55%,33%,26%,10%,2020-04-27
2,sza-shop-Redis-kzx-0006,10.6.1.38,SHOP,Redis,A,Redis,8C32G,sza,WEB,x86,25%,60%,59%,0%,2020-10-03
-2,szb-shop-Redis-kzx-0001,10.6.2.79,SHOP,Redis,A,Redis,8C32G,szb,WEB,C86,16%,11%,0%,0%,2020-03-11
-3,szb-shop-Redis-kzx-0002,10.6.2.5,SHOP,Redis,A,Redis,8C32G,szb,WEB,C86,19%,29%,0%,0%,2020-01-24
3,szb-shop-Redis-kzx-0003,10.6.2.109,SHOP,Redis,A,Redis,8C32G,szb,WEB,C86,83%,15%,48%,16%,2020-07-25
3,szb-shop-Redis-kzx-0004,10.6.2.65,SHOP,Redis,A,Redis,8C32G,szb,WEB,C86,12%,12%,0%,0%,2020-12-03
-1,szb-shop-Redis-kzx-0005,10.6.2.93,SHOP,Redis,A,Redis,8C32G,szb,WEB,C86,21%,34%,40%,0%,2020-10-16
-2,szb-shop-Redis-kzx-0006,10.6.2.51,SHOP,Redis,A,Redis,8C32G,szb,WEB,C86,25%,47%,27%,0%,2020-11-04
0,hfa-shop-app-kzx-0001,10.6.3.155,SHOP,app,A,app,2C8G,hfa,WEB,x86,87%,17%,38%,1%,2020-05-19
-3,hfa-shop-app-kzx-0002,10.6.3.85,SHOP,app,A,app,2C8G,hfa,WEB,x86,97%,14%,62%,36%,2020-11-06
1,sza-shop-app-kzx-0001,10.6.1.122,SHOP,app,A,app,16C32G,sza,WEB,C86,86%,38%,68%,54%,2020-11-20
-1,sza-shop-app-kzx-0002,10.6.1.202,SHOP,app,A,app,16C32G,sza,WEB,C86,52%,59%,64%,41%,2020-04-06
1,szb-shop-app-kzx-0001,10.6.2.62,SHOP,app,A,app,16C32G,szb,WEB,ARM,29%,28%,64%,0%,2020-08-18
1,szb-shop-app-kzx-0002,10.6.2.16,SHOP,app,A,app,16C32G,szb,WEB,ARM,90%,32%,45%,21%,2020-11-23
2,hfa-shop-web-kzx-0001,10.1.3.26,SHOP,web,A,web,4C8G,hfa,AG,ARM,28%,37%,11%,0%,2020-08-01
-1,hfa-shop-web-kzx-0002,10.1.3.178,SHOP,web,A,web,4C8G,hfa,AG,ARM,78%,24%,19%,1%,2020-09-14
3,sza-shop-web-kzx-0001,10.1.1.214,SHOP,web,A,web,4C16G,sza,AG,ARM,89%,30%,90%,14%,2020-12-02
2,sza-shop-web-kzx-0002,10.1.1.185,SHOP,web,A,web,4C16G,sza,AG,ARM,65%,32%,28%,15%,2020-12-24
-1,szb-shop-web-kzx-0001,10.1.2.175,SHOP,web,A,web,4C16G,szb,AG,x86,49%,20%,23%,18%,2020-09-10
3,szb-shop-web-kzx-0002,10.1.2.172,SHOP,web,A,web,4C16G,szb,AG,x86,36%,32%,17%,3%,2020-12-11
